Date,Avg Top Performers,Avg Bottom Performers
2002-02,6.572,-3.4129999999999994
2002-03,8.177,-4.014
2002-04,5.994000000000001,-8.817
2002-05,6.174,-6.739
2002-06,4.414,-6.74
2002-07,-2.776,-9.375
2002-08,5.4879999999999995,-7.053999999999999
2002-09,5.305999999999999,-3.6769999999999996
2002-10,7.146000000000001,-3.857
2002-11,10.342,-2.8040000000000003
2002-12,5.818,-5.098000000000001
2003-01,5.831,-6.523000000000001
2003-02,4.993,-2.991
2003-03,7.554,-2.694
2003-04,7.581999999999999,0.8400000000000002
2003-05,8.086000000000002,-0.5369999999999999
2003-06,6.305,-3.7939999999999996
2003-07,7.601000000000001,-5.025
2003-08,6.824999999999998,-2.283
2003-09,5.776,-2.6470000000000002
2003-10,7.019000000000001,-1.829
2003-11,7.92,-2.7929999999999997
2003-12,7.435,-2.4520000000000004
2004-01,6.174,-2.3409999999999997
2004-02,6.545,-2.2510000000000003
2004-03,5.274,-1.4339999999999997
2004-04,4.617,-4.381
2004-05,7.468999999999999,-1.9880000000000002
2004-06,8.158000000000001,-2.354
2004-07,5.689,-4.781
2004-08,6.079000000000001,-7.3450000000000015
2004-09,10.101,-2.3169999999999997
2004-10,8.543000000000001,-4.392
2004-11,7.398999999999999,-1.832
2004-12,7.888000000000001,-1.552
2005-01,8.126000000000001,-4.999
2005-02,7.042,-1.703
2005-03,5.588,-4.115
2005-04,5.806,-6.1240000000000006
2005-05,7.087999999999999,-1.106
2005-06,6.577,-2.315
2005-07,7.414999999999999,-0.15999999999999998
2005-08,4.757,-3.349
2005-09,5.1049999999999995,-1.1909999999999998
2005-10,5.2490000000000006,-6.349
2005-11,6.226,-4.728
2005-12,4.1659999999999995,-0.579
2006-01,7.5680000000000005,-2.722
2006-02,6.555,-2.4970000000000003
2006-03,7.730999999999999,-2.283
2006-04,7.154000000000001,-1.986
2006-05,4.393000000000001,-3.5490000000000004
2006-06,7.777000000000001,-2.101
2006-07,6.633,-5.55
2006-08,6.402000000000001,-2.2569999999999997
2006-09,6.477000000000001,-0.7699999999999999
2006-10,7.0600000000000005,-3.785
2006-11,7.393000000000001,-1.6310000000000002
2006-12,4.417,-3.07
2007-01,7.389999999999999,-0.661
2007-02,5.407000000000001,-0.8630000000000001
2007-03,6.439,-0.6339999999999999
2007-04,7.048,-1.5740000000000003
2007-05,6.789,-1.236
2007-06,4.206,-7.08
2007-07,6.901999999999999,-8.921000000000001
2007-08,6.484,-2.039
2007-09,6.711,-2.608
2007-10,7.385,-4.453999999999999
2007-11,4.619000000000001,-1.989
2007-12,10.645999999999999,-0.953
2008-01,8.786999999999999,-5.158
2008-02,11.409000000000002,-8.594999999999999
2008-03,5.543,-2.3080000000000007
2008-04,7.697999999999999,-5.414
2008-05,7.181,-6.2299999999999995
2008-06,-4.2780000000000005,-9.563
2008-07,8.516,-9.507000000000001
2008-08,8.094000000000001,-3.5400000000000005
2008-09,4.244999999999999,-11.587999999999997
2008-10,-12.759,-15.647999999999996
2008-11,8.578,-7.535000000000001
2008-12,5.766,-4.627
2009-01,7.774000000000001,-11.211
2009-02,2.788000000000001,-12.312000000000001
2009-03,8.045,-3.4850000000000003
2009-04,20.012,-0.493
2009-05,22.698,-5.632
2009-06,8.071000000000002,-2.072
2009-07,7.773000000000001,4.332999999999999
2009-08,6.996,-2.3819999999999997
2009-09,7.024000000000001,-3.149
2009-10,0.06999999999999992,-1.7130000000000003
2009-11,7.640000000000001,-2.0490000000000004
2009-12,8.884,-2.7920000000000007
2010-01,7.840999999999999,-5.643
2010-02,6.699000000000001,-2.4899999999999998
2010-03,8.219,2.085
2010-04,8.370000000000001,-4.202
2010-05,-6.879,-10.218
2010-06,3.335,-8.750000000000002
2010-07,8.695,6.925
2010-08,5.275,-9.518
2010-09,7.436999999999999,7.052
2010-10,7.742,-2.136
2010-11,5.711,-3.6310000000000002
2010-12,7.572000000000001,6.055999999999999
2011-01,7.069,-3.471
2011-02,7.5840000000000005,-3.489
2011-03,7.339,-1.61
2011-04,7.769,-1.46
2011-05,5.168,-4.149
2011-06,3.3980000000000006,-1.097
2011-07,2.4530000000000003,-4.971
2011-08,4.816999999999999,-9.030999999999999
2011-09,2.2079999999999997,-10.464
2011-10,7.1049999999999995,3.277
2011-11,6.195000000000001,-3.3409999999999997
2011-12,7.869,-1.6460000000000001
2012-01,6.928,-2.008
2012-02,7.7540000000000004,-1.796
2012-03,7.309,-1.721
2012-04,6.364000000000001,-2.6550000000000002
2012-05,2.4549999999999996,-6.785999999999999
2012-06,7.6389999999999985,-5.316999999999999
2012-07,5.069999999999999,-3.599
2012-08,6.534999999999999,-4.648000000000001
2012-09,5.4910000000000005,-1.0580000000000003
2012-10,5.704,-2.68
2012-11,6.452,-1.5150000000000003
2012-12,5.835,-0.45099999999999996
2013-01,8.616,3.8599999999999994
2013-02,6.292,-1.168
2013-03,7.025,-1.408
2013-04,7.275,-2.494
2013-05,7.577,-6.408000000000001
2013-06,3.849000000000001,-0.9079999999999998
2013-07,8.338,-0.023000000000000104
2013-08,5.057,-3.2879999999999994
2013-09,8.182999999999998,-0.9069999999999998
2013-10,8.094,-2.839
2013-11,4.7170000000000005,-2.4459999999999997
2013-12,7.324000000000001,-0.93
2014-01,5.4350000000000005,-3.345999999999999
2014-02,7.588000000000001,-2.15
2014-03,5.851000000000001,-4.116
2014-04,5.852,-1.828
2014-05,4.5120000000000005,-1.8579999999999999
2014-06,6.337999999999999,-1.983
2014-07,3.938000000000001,-6.42
2014-08,7.168000000000001,0.21800000000000005
