Date,Top Performers,Bottom Performers
2002-02,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-03,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-04,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-05,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-06,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-07,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-08,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-09,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-10,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-11,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2002-12,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2003-01,"EMN, SJM, AVY, DHI, GL, IEX, SNA, ATO, PPG, HBAN","JBHT, FDS, AFL, FE, RHI, ADM, BAX, ED, ROL, LNC"
2003-02,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-03,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-04,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-05,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-06,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-07,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-08,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-09,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-10,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-11,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2003-12,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2004-01,"ROL, FRT, NUE, BXP, CHD, COO, TER, GL, HBAN, ESS","LNC, JBHT, TTWO, POOL, DTE, CINF, AEE, PNW, AOS, ROK"
2004-02,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-03,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-04,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-05,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-06,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-07,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-08,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-09,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-10,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-11,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-12,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2005-01,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS","RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2005-02,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-03,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-04,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-05,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-06,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-07,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-08,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-09,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-10,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-11,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-12,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2006-01,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM","SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2006-02,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-03,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-04,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-05,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-06,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-07,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-08,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-09,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-10,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-11,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-12,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2007-01,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2007-02,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-03,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-04,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-05,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-06,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-07,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
