Date,Avg Top Performers,Avg Bottom Performers
2002-02,6.702,-3.283
2002-03,8.306999999999999,-3.883999999999999
2002-04,6.144,-8.666999999999998
2002-05,6.314,-6.599000000000001
2002-06,4.544,-6.610000000000001
2002-07,-2.6260000000000003,-9.225
2002-08,5.628,-6.914
2002-09,5.446,-3.537
2002-10,7.286000000000001,-3.717000000000001
2002-11,10.462000000000002,-2.684
2002-12,5.928,-4.988
2003-01,5.930999999999999,-6.422999999999999
2003-02,5.083,-2.901
2003-03,7.654000000000001,-2.5939999999999994
2003-04,7.682,0.9400000000000001
2003-05,8.175999999999998,-0.44699999999999995
2003-06,6.404999999999999,-3.6940000000000004
2003-07,7.670999999999999,-4.955
2003-08,6.894999999999999,-2.213
2003-09,5.856,-2.567
2003-10,7.089,-1.759
2003-11,7.99,-2.7230000000000003
2003-12,7.515000000000001,-2.372
2004-01,6.244000000000001,-2.271
2004-02,6.605000000000001,-2.191
2004-03,5.363999999999999,-1.3439999999999999
2004-04,4.697,-4.301
2004-05,7.528999999999999,-1.9280000000000002
2004-06,8.238,-2.274
2004-07,5.789,-4.681
2004-08,6.189,-7.235000000000001
2004-09,10.211,-2.207
2004-10,8.653,-4.281999999999999
2004-11,7.5489999999999995,-1.682
2004-12,8.048,-1.392
2005-01,8.286,-4.839
2005-02,7.202,-1.543
2005-03,5.798,-3.905
2005-04,6.016,-5.914
2005-05,7.328000000000001,-0.8660000000000002
2005-06,6.8069999999999995,-2.085
2005-07,7.655000000000001,0.08
2005-08,5.057,-3.049
2005-09,5.3950000000000005,-0.901
2005-10,5.518999999999999,-6.079
2005-11,6.536,-4.418
2005-12,4.486,-0.259
2006-01,7.917999999999999,-2.372
2006-02,6.894999999999999,-2.157
2006-03,8.101,-1.9130000000000003
2006-04,7.514,-1.626
2006-05,4.823,-3.119
2006-06,8.177000000000001,-1.7009999999999994
2006-07,7.0329999999999995,-5.15
2006-08,6.822,-1.8370000000000002
2006-09,6.8870000000000005,-0.36
2006-10,7.470000000000001,-3.374999999999999
2006-11,7.813000000000001,-1.2109999999999999
2006-12,4.816999999999999,-2.6700000000000004
2007-01,7.830000000000001,-0.221
2007-02,5.787,-0.483
2007-03,6.869,-0.20400000000000001
2007-04,7.4879999999999995,-1.134
2007-05,7.199000000000001,-0.8260000000000002
2007-06,4.606,-6.68
2007-07,7.302000000000002,-8.521
2007-08,6.903999999999999,-1.6189999999999998
2007-09,7.031000000000001,-2.2880000000000003
2007-10,7.705,-4.1339999999999995
2007-11,4.9590000000000005,-1.6490000000000002
2007-12,10.916,-0.683
2008-01,8.997,-4.948
2008-02,11.539,-8.465
2008-03,5.712999999999999,-2.1380000000000003
2008-04,7.878,-5.234
2008-05,7.3610000000000015,-6.049999999999999
2008-06,-4.108,-9.393
2008-07,8.666,-9.357
2008-08,8.224,-3.41
2008-09,4.3950000000000005,-11.438
2008-10,-12.679,-15.568000000000001
2008-11,8.608,-7.505
2008-12,5.766,-4.627
2009-01,7.774000000000001,-11.211
2009-02,2.7980000000000005,-12.302000000000001
2009-03,8.065000000000001,-3.465
2009-04,20.022000000000002,-0.4829999999999998
2009-05,22.698,-5.632
2009-06,8.081,-2.0620000000000003
2009-07,7.7829999999999995,4.343
2009-08,7.006,-2.372
2009-09,7.033999999999999,-3.1390000000000002
2009-10,0.06999999999999992,-1.7130000000000003
2009-11,7.640000000000001,-2.0490000000000004
2009-12,8.894,-2.7819999999999996
2010-01,7.840999999999999,-5.643
2010-02,6.699000000000001,-2.4899999999999998
2010-03,8.229,2.0949999999999998
2010-04,8.379999999999999,-4.191999999999999
2010-05,-6.869,-10.208
2010-06,3.3449999999999998,-8.74
2010-07,8.705,6.935
2010-08,5.285,-9.508
2010-09,7.447,7.062000000000002
2010-10,7.752,-2.1259999999999994
2010-11,5.721000000000001,-3.6209999999999996
2010-12,7.581999999999999,6.066
2011-01,7.079000000000001,-3.461
2011-02,7.593999999999999,-3.478999999999999
2011-03,7.349000000000001,-1.6
2011-04,7.769,-1.46
2011-05,5.168,-4.149
2011-06,3.3980000000000006,-1.097
2011-07,2.4530000000000003,-4.971
2011-08,4.827,-9.021
2011-09,2.2079999999999997,-10.464
2011-10,7.1049999999999995,3.277
2011-11,6.195000000000001,-3.3409999999999997
2011-12,7.869,-1.6460000000000001
2012-01,6.928,-2.008
2012-02,7.7540000000000004,-1.796
2012-03,7.309,-1.721
2012-04,6.364000000000001,-2.6550000000000002
2012-05,2.4650000000000003,-6.776000000000001
2012-06,7.6389999999999985,-5.316999999999999
2012-07,5.069999999999999,-3.599
2012-08,6.545,-4.638
2012-09,5.501,-1.048
2012-10,5.714,-2.6700000000000004
2012-11,6.462000000000001,-1.5049999999999997
2012-12,5.845000000000001,-0.44099999999999995
2013-01,8.616,3.8599999999999994
2013-02,6.292,-1.168
2013-03,7.025,-1.408
2013-04,7.275,-2.494
2013-05,7.577,-6.408000000000001
2013-06,3.849000000000001,-0.9079999999999998
2013-07,8.338,-0.023000000000000104
2013-08,5.057,-3.2879999999999994
2013-09,8.182999999999998,-0.9069999999999998
2013-10,8.094,-2.839
2013-11,4.7170000000000005,-2.4459999999999997
2013-12,7.324000000000001,-0.93
2014-01,5.4350000000000005,-3.345999999999999
2014-02,7.588000000000001,-2.15
2014-03,5.851000000000001,-4.116
2014-04,5.852,-1.828
2014-05,4.5120000000000005,-1.8579999999999999
2014-06,6.337999999999999,-1.983
2014-07,3.938000000000001,-6.42
2014-08,7.168000000000001,0.21800000000000005
2014-09,-4.879,-1.304
