Date,Top Performers,Bottom Performers
2007-01,"HOLX, NUE, CMI, BXP, EIX, FRT, FE, ADM, BRO, ESS","SJM, AOS, DOV, PPG, TTWO, COO, MHK, DHI, INCY, TER"
2007-02,"HOLX, NUE, BXP, CMI, EIX, FRT, ESS, ADM, ROP, FE","PPG, SJM, AVY, DOV, DHI, MHK, TTWO, COO, INCY, TER"
2007-03,"HOLX, NUE, CMI, BXP, EIX, VMC, ESS, FRT, ADM, FDS","CINF, SJM, DOV, AVY, TTWO, COO, MHK, DHI, INCY, TER"
2007-04,"HOLX, NUE, CMI, BXP, EIX, ADM, VMC, ROP, FE, CMS","STT, SJM, DOV, AVY, TTWO, MHK, COO, INCY, DHI, TER"
2007-05,"HOLX, NUE, BXP, CMI, EIX, FRT, VMC, FE, ADM, CMS","POOL, TTWO, RHI, DOV, MHK, AVY, COO, INCY, DHI, TER"
2007-06,"HOLX, NUE, CMI, EIX, BXP, FE, VMC, FRT, ADM, CMS","POOL, TTWO, MHK, AVY, DOV, RHI, COO, INCY, DHI, TER"
2007-07,"HOLX, CMI, EIX, NUE, BXP, FE, VMC, ADM, CMS, ROP","RHI, TTWO, PNW, DOV, AVY, POOL, COO, INCY, DHI, TER"
2007-08,"HOLX, CMI, ADM, EIX, ROP, AOS, FDS, BXP, FE, BAX","AVY, PNW, POOL, MHK, HBAN, TTWO, INCY, COO, TER, DHI"
2007-09,"HOLX, CMI, AOS, ADM, ROP, EIX, NUE, BXP, ROL, BAX","PNW, AVY, POOL, MHK, HBAN, INCY, TTWO, COO, TER, DHI"
2007-10,"HOLX, CMI, AOS, ROP, EIX, ADM, BXP, FRT, FE, APD","PNW, AVY, MHK, POOL, TTWO, HBAN, TER, COO, INCY, DHI"
2007-11,"HOLX, CMI, ROP, ADM, EIX, BAX, FE, NUE, ROL, BXP","PNW, AVY, HBAN, TTWO, MHK, POOL, INCY, COO, TER, DHI"
2007-12,"HOLX, CMI, CHD, ADM, NUE, BAX, ROP, EIX, FE, ROL","RHI, AVY, INCY, MHK, HBAN, TTWO, POOL, COO, TER, DHI"
2008-01,"HOLX, CMI, ADM, NUE, FE, ROP, CHD, APD, EIX, BAX","SWK, RHI, AVY, TTWO, MHK, HBAN, POOL, COO, TER, DHI"
2008-02,"HOLX, CMI, ADM, NUE, BXP, FE, STT, BAX, ROP, INCY","AEE, RHI, POOL, AVY, MHK, TER, TTWO, DHI, HBAN, COO"
2008-03,"HOLX, CMI, NUE, ADM, STT, BXP, FE, BAX, ROP, NTRS","ROK, PPG, AVY, TER, BRO, MHK, POOL, HBAN, DHI, COO"
2008-04,"HOLX, CMI, NUE, INCY, ADM, BXP, STT, ESS, AFL, FE","PNW, TER, PPG, MHK, AVY, BRO, POOL, DHI, COO, HBAN"
2008-05,"CMI, HOLX, NUE, ADM, INCY, FDS, JBHT, FE, SNA, BXP","DTE, BRO, PPG, AEE, MHK, PNW, POOL, DHI, COO, HBAN"
2008-06,"CMI, NUE, HOLX, ADM, FDS, JBHT, FE, SNA, BXP, ROP","CINF, PPG, BRO, AEE, PNW, MHK, POOL, COO, DHI, HBAN"
2008-07,"CMI, NUE, HOLX, JBHT, FE, ROP, ADM, BAX, APD, BXP","AVY, AEE, BRO, PNW, MHK, CINF, COO, POOL, DHI, HBAN"
2008-08,"CMI, NUE, JBHT, HOLX, BAX, INCY, AOS, FDS, SNA, BXP","PNW, AVY, RHI, CINF, POOL, MHK, TER, COO, HBAN, DHI"
2008-09,"CMI, NUE, JBHT, HOLX, INCY, FDS, BXP, BAX, AOS, SNA","AEE, CMS, MHK, CINF, RHI, POOL, COO, TER, DHI, HBAN"
2008-10,"CMI, INCY, NUE, JBHT, HOLX, BXP, FDS, BAX, CHD, SNA","ROK, AEE, POOL, CMS, CINF, RHI, TER, COO, HBAN, DHI"
2008-11,"CMI, INCY, NUE, JBHT, HOLX, CHD, BAX, BXP, FDS, SNA","LNC, CMS, BRO, CINF, POOL, RHI, TER, HBAN, COO, DHI"
2008-12,"CMI, INCY, NUE, CHD, FDS, FE, HOLX, TTWO, JBHT, SNA","CINF, AVY, BRO, POOL, RHI, MHK, COO, TER, HBAN, DHI"
2009-01,"CMI, NUE, INCY, VMC, FDS, CHD, SNA, FRT, BAX, NTRS","AVY, AEE, COO, CINF, POOL, BRO, RHI, TER, HBAN, DHI"
2009-02,"CMI, INCY, FDS, NTRS, NUE, BAX, VMC, SNA, CHD, SJM","ROK, STT, BRO, AVY, POOL, CINF, RHI, TER, DHI, HBAN"
2009-03,"CMI, INCY, FDS, NTRS, NUE, BAX, CHD, SJM, SNA, ROL","ROK, AOS, AVY, CINF, BRO, RHI, POOL, TER, DHI, HBAN"
2009-04,"CMI, FDS, NTRS, JBHT, INCY, BAX, CHD, TTWO, APD, NUE","AVY, RHI, BRO, ROK, LNC, DHI, AOS, TER, POOL, HBAN"
2009-05,"CMI, MHK, FDS, EMN, INCY, JBHT, SNA, AFL, APD, CHD","PNW, AVY, AOS, CINF, BRO, POOL, TER, ADM, AEE, HBAN"
2009-06,"CMI, INCY, LNC, FDS, AFL, JBHT, EMN, MHK, APD, BAX","AOS, AVY, HBAN, RHI, ADM, BRO, DHI, POOL, CINF, AEE"
2009-07,"CMI, INCY, TTWO, JBHT, LNC, FDS, AFL, EMN, BAX, SJM","RHI, HBAN, ESS, DHI, BRO, AVY, ADM, AEE, POOL, CINF"
2009-08,"INCY, CMI, EMN, MHK, FDS, AFL, TTWO, JBHT, LNC, CHD","EIX, HOLX, FE, ADM, ESS, AVY, CINF, BRO, AEE, HBAN"
