Date,Top Performers,Bottom Performers
2006-07,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-08,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-09,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-10,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-11,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-12,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2007-01,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2007-02,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-03,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-04,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-05,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-06,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-07,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
