date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD;portfolio
31.12.2002;1.35%;-6.57%;-2.17%;0.53%;-3.32%;-12.47%;-0.57%;-2.47%;-9.63%;-3.02%;-10.96%;-9.21%;-5.74%;4.67%;9.15%;6.85%;-6.03%;-0.29%;-8.36%;5.27%;3.04%;-1.64%;-4.39%;-11.26%;-3.68%;-14.77%;6.51%;-10.13%;-1.81%;-7.56%;-9.43%;-17.79%;-7.33%;6.13%;1.01%;-18.02%;-0.74%;-13.19%;-5.26%;2.34%;-13.33%;-3.04%;-20.62%;-0.01%;-21.52%;9.31%;6.01%;-5.21%;-5.92%;1.28%;
31.01.2003;-3.78%;-2.82%;7.54%;-3.89%;-2.56%;2.55%;-0.94%;-4.13%;-12.19%;-39.94%;2.46%;10.09%;-10.25%;-8.64%;-6.77%;4.05%;-5.79%;0.77%;-3.82%;-5.37%;1.43%;-1.72%;2.26%;-18.84%;-10.83%;-4.39%;-5.70%;2.12%;-2.66%;-7.50%;-2.38%;-2.93%;-5.03%;-8.62%;-2.63%;-5.90%;11.30%;-4.89%;-9.28%;0.48%;1.85%;-23.02%;-20.14%;-9.20%;-9.79%;15.09%;-3.95%;-1.89%;-7.86%;-4.11%;
28.02.2003;-0.25%;-9.54%;-3.52%;-0.86%;-6.49%;0.75%;3.62%;-0.98%;-2.96%;-20.63%;13.43%;-3.79%;-2.48%;-1.15%;-2.30%;0.24%;-5.96%;0.93%;-5.88%;-5.45%;4.53%;1.39%;1.21%;-27.04%;-4.52%;-22.48%;-11.18%;-11.29%;0.37%;-6.26%;-5.99%;4.23%;-1.19%;-0.62%;-4.98%;-11.68%;-0.17%;-16.94%;-2.00%;-14.37%;-6.92%;-3.04%;11.55%;-6.90%;-1.32%;7.82%;-5.00%;-3.68%;-3.22%;2.12%;
31.03.2003;3.96%;-0.42%;2.79%;0.15%;6.89%;-34.34%;1.88%;-1.04%;2.94%;-2.00%;2.93%;4.86%;-4.59%;-6.73%;0.07%;10.76%;-9.94%;2.55%;27.06%;8.09%;3.62%;-1.40%;-3.18%;19.09%;4.62%;-11.54%;9.70%;-1.16%;1.67%;-2.92%;-4.90%;-8.25%;8.43%;8.84%;-1.95%;-0.60%;-9.35%;0.00%;0.09%;2.63%;-14.17%;-7.05%;0.43%;-3.91%;6.60%;9.66%;1.28%;2.21%;8.85%;2.15%;
30.04.2003;11.27%;2.59%;2.06%;6.66%;4.49%;23.39%;5.08%;5.82%;10.20%;41.27%;-6.69%;23.44%;18.66%;5.65%;1.04%;6.57%;6.90%;6.76%;7.24%;7.08%;3.12%;8.24%;5.17%;4.53%;9.83%;14.72%;28.34%;14.14%;8.44%;15.71%;15.98%;7.57%;11.11%;-0.06%;7.61%;22.31%;10.14%;6.03%;18.54%;3.75%;11.21%;1.19%;-0.34%;15.68%;0.94%;5.17%;7.15%;-9.08%;14.24%;3.66%;
31.05.2003;7.07%;8.03%;0.61%;11.03%;1.21%;10.17%;6.94%;0.62%;26.45%;27.13%;23.73%;10.93%;5.46%;7.47%;10.60%;11.58%;7.07%;3.67%;10.63%;9.13%;7.07%;-0.08%;5.73%;39.00%;8.79%;46.36%;7.53%;10.12%;4.55%;4.04%;8.66%;16.62%;-2.42%;15.40%;0.25%;4.12%;3.73%;20.30%;3.61%;3.78%;9.36%;16.35%;47.84%;4.78%;12.31%;-14.91%;8.65%;4.66%;-0.89%;1.02%;
30.06.2003;-11.42%;8.11%;-6.37%;-3.08%;-4.57%;2.60%;4.48%;-0.13%;5.73%;2.27%;0.72%;7.19%;-0.71%;-10.82%;2.12%;0.92%;-3.12%;0.46%;14.60%;5.63%;-3.03%;-3.55%;-4.78%;4.64%;5.07%;-3.19%;2.56%;2.39%;2.90%;-3.78%;9.01%;2.54%;6.77%;-1.08%;5.28%;11.74%;1.55%;1.39%;-3.76%;6.62%;2.85%;-0.36%;0.93%;1.88%;12.07%;-8.35%;1.49%;-9.52%;-8.17%;3.20%;
31.07.2003;18.69%;2.10%;4.33%;-3.96%;12.35%;6.19%;0.28%;6.81%;29.09%;-19.75%;0.90%;0.18%;22.20%;-6.40%;-8.25%;-0.12%;16.17%;7.30%;4.43%;-10.30%;10.62%;9.10%;5.78%;6.95%;2.10%;8.02%;23.46%;4.80%;5.89%;21.39%;5.66%;1.37%;12.74%;-8.36%;11.29%;14.63%;8.39%;7.26%;-2.45%;0.38%;16.91%;2.64%;-4.97%;8.50%;-6.00%;-0.64%;-1.73%;8.19%;-4.62%;-1.01%;
31.08.2003;7.96%;5.56%;-0.22%;1.77%;1.81%;1.77%;-0.79%;2.67%;7.58%;2.62%;5.82%;10.55%;3.85%;-2.24%;-0.45%;14.93%;-1.35%;3.71%;5.54%;-15.16%;0.32%;-0.45%;-2.49%;17.07%;5.22%;-24.57%;5.65%;-4.30%;4.86%;8.23%;-3.50%;4.24%;5.70%;1.16%;-2.76%;2.44%;5.34%;7.21%;4.17%;1.10%;-4.25%;6.85%;8.39%;2.96%;11.98%;-4.27%;-0.08%;1.46%;0.00%;-1.39%;
30.09.2003;-21.98%;-5.06%;1.16%;0.96%;-4.69%;3.42%;1.21%;-0.87%;-10.30%;10.49%;9.87%;5.35%;-6.60%;5.67%;4.55%;1.27%;-6.45%;-0.22%;-8.54%;10.23%;5.37%;0.69%;-0.60%;-17.02%;-6.03%;16.92%;5.39%;-0.11%;2.69%;-2.25%;0.26%;-10.76%;1.87%;3.50%;-4.14%;-12.32%;-2.94%;2.04%;-5.46%;4.76%;2.39%;-1.61%;4.32%;-3.04%;14.59%;-0.20%;-0.48%;-7.12%;-0.52%;9.78%;
31.10.2003;13.00%;9.46%;12.94%;5.61%;1.20%;-8.53%;3.28%;3.15%;6.68%;10.18%;6.63%;21.71%;10.32%;1.42%;-0.71%;3.19%;-1.89%;-3.32%;-1.60%;7.81%;4.35%;7.97%;9.75%;0.00%;2.03%;14.04%;-3.09%;12.86%;4.04%;3.93%;10.24%;20.03%;26.05%;2.99%;10.40%;21.08%;18.29%;13.48%;6.11%;3.82%;16.72%;12.94%;22.47%;11.02%;16.25%;13.90%;2.34%;4.08%;-1.07%;6.52%;
30.11.2003;11.56%;-0.42%;-1.40%;-1.16%;5.57%;4.67%;4.52%;-0.76%;-2.00%;-2.83%;5.06%;10.01%;-1.61%;2.25%;-0.42%;3.60%;9.89%;6.80%;-5.02%;0.76%;3.58%;0.77%;1.81%;10.59%;6.59%;14.58%;3.55%;-0.92%;6.59%;-2.75%;-3.46%;2.33%;2.11%;9.02%;1.42%;-5.72%;7.09%;1.64%;2.32%;4.93%;-2.67%;-1.89%;10.49%;0.36%;-16.65%;9.65%;0.61%;4.75%;3.28%;8.69%;
31.12.2003;-0.26%;6.96%;0.81%;4.24%;10.20%;9.71%;4.19%;2.58%;6.07%;7.98%;3.24%;-1.01%;3.96%;4.48%;8.19%;7.39%;10.82%;0.42%;-7.68%;2.70%;-2.34%;3.27%;2.32%;14.69%;5.34%;13.06%;2.78%;2.96%;2.19%;-2.14%;3.10%;-0.20%;-8.77%;1.65%;10.33%;4.85%;7.62%;-1.76%;8.31%;-0.87%;2.20%;16.70%;1.11%;7.58%;-12.93%;1.45%;-0.17%;1.71%;3.93%;-2.04%;
31.01.2004;-10.96%;2.89%;1.93%;6.49%;-5.12%;-2.56%;5.19%;4.39%;3.66%;3.05%;2.76%;-2.57%;3.95%;0.57%;1.91%;0.32%;2.09%;-2.06%;-0.42%;6.59%;8.91%;4.17%;0.03%;1.57%;0.26%;30.41%;-2.59%;9.36%;2.77%;-1.36%;2.99%;0.91%;-1.93%;-1.92%;-9.04%;0.64%;-8.51%;-1.56%;-3.38%;2.87%;3.70%;0.03%;5.70%;0.27%;0.62%;12.20%;5.35%;11.71%;6.29%;0.63%;
