Date,Avg Top Performers,Avg Bottom Performers
2004-01,0.039025810300000005,-0.0025295913999999996
2004-02,0.03678836370000001,0.0009814418999999994
2004-03,0.037056877200000005,-0.0006137581439999998
2004-04,0.037859778200000006,-0.0017363672800000001
2004-05,0.036358301100000004,-0.0009515904999999998
2004-06,0.035262389,-0.002191349
2004-07,0.0358360118,-0.0022818162999999995
2004-08,0.0347644681,-0.0023583121
2004-09,0.0289004047,-0.0019117128699999999
2004-10,0.032619368100000004,-0.0030963524
2004-11,0.0289817169,-0.0020256541
2004-12,0.028785569599999998,-0.0023796787
2005-01,0.028170387800000002,-0.006830386199999999
2005-02,0.026267715999999997,-0.0071989383899999995
2005-03,0.0265805956,-0.008072672
2005-04,0.024578348200000003,-0.008119879899999998
2005-05,0.022283570500000002,-0.006523083200000002
2005-06,0.022945547,-0.0055391489000000006
2005-07,0.022598329299999997,-0.0066229781
2005-08,0.023389543000000002,-0.0051880499
2005-09,0.023228710000000003,-0.0044419933
2005-10,0.019572182700000003,-0.007043358699999999
2005-11,0.018532030799999998,-0.0050365276
2005-12,0.0182183083,-0.006744129999999999
2006-01,0.021571739799999996,-0.0095713973
2006-02,0.022137442200000003,-0.006112635399999999
2006-03,0.021387450699999998,-0.00398646314
2006-04,0.0216963599,-0.0035127562
2006-05,0.019212539500000004,-0.0043648536
2006-06,0.017576968800000002,-0.0040308774
2006-07,0.018798041600000003,-0.0025256531999999997
2006-08,0.0179260576,-0.0035260241999999996
2006-09,0.016638654200000002,-0.0027662157
2006-10,0.0168324126,-0.004337796600000001
2006-11,0.016979493919999998,-0.004869803
2006-12,0.0162792999,-0.0047372937
2007-01,0.021201145,-0.008804446459999999
2007-02,0.022679797100000003,-0.007754803099999999
2007-03,0.021918093399999998,-0.007201608
2007-04,0.0203937645,-0.008918043099999998
2007-05,0.0215473104,-0.0084430014
2007-06,0.0207094163,-0.0081315615
2007-07,0.017832664899999996,-0.0077947738
2007-08,0.0157274399,-0.0071947679
2007-09,0.015958872199999998,-0.008299348000000002
2007-10,0.015860432299999998,-0.01049407976
2007-11,0.0156719031,-0.0123169263
2007-12,0.014673238100000003,-0.011505506499999998
2008-01,0.0186371361,-0.0152047341
2008-02,0.016345731,-0.009798126800000001
2008-03,0.016731416000000002,-0.009614950899999999
2008-04,0.016585767,-0.009190237100000002
2008-05,0.0176426883,-0.0085506374
2008-06,0.017275639500000002,-0.0094467727
2008-07,0.018179025999999997,-0.010934021899999999
2008-08,0.015101194899999998,-0.012364075999999998
2008-09,0.013813502188,-0.010128532999999999
2008-10,0.011725258700000001,-0.0092985812
2008-11,0.01244336779,-0.0102477039
2008-12,0.013981236429999998,-0.0099851838
2009-01,0.019308173300000002,-0.010378851599999999
2009-02,0.0188664334,-0.0118457113
2009-03,0.0180656649,-0.012043464
2009-04,0.0163295988,-0.010638383599999999
2009-05,0.016057842,-0.00443166297
2009-06,0.013875409699999999,-0.0060144979000000005
2009-07,0.0129168164,-0.0052647358
2009-08,0.015244053599999998,-0.0037149760999999996
2009-09,0.0149137503,-0.0025006826300000002
2009-10,0.014702528599999997,-0.0035962308000000004
2009-11,0.013208362899999998,-0.0042439229
2009-12,0.0135604809,-0.0056186238
2010-01,0.0211615318,-0.0057494356
2010-02,0.0208074999,-0.0048363189
2010-03,0.019921453100000003,-0.0048225709999999995
2010-04,0.019599720900000003,-0.0032687792
2010-05,0.019197847100000002,-0.0010136623
2010-06,0.021453182499999997,-0.00036084670000000014
2010-07,0.0214243825,1.161560000000018e-05
2010-08,0.0203058235,0.0011943014999999998
2010-09,0.0217579407,0.0016209285000000004
2010-10,0.0209530006,0.0024971346999999996
2010-11,0.020390463500000004,0.0020992826
2010-12,0.0183554756,0.0027150527999999998
2011-01,0.0217688465,-0.0061385923
2011-02,0.018398361300000002,-0.006804036100000001
2011-03,0.016917522299999998,-0.0065203407
2011-04,0.0177930891,-0.0063341805
2011-05,0.017338031900000002,-0.0066037846999999995
2011-06,0.0164204425,-0.006176393300000001
2011-07,0.0164788611,-0.0066386827
2011-08,0.015035921499999999,-0.0063547757
2011-09,0.015623260700000002,-0.0061855632
2011-10,0.0156431912,-0.0054901701
2011-11,0.017374473900000003,-0.0038719744
2011-12,0.0159625654,-0.007056720400000001
2012-01,0.019803428600000002,-0.0139011813
2012-02,0.017247717800000003,-0.0100150644
2012-03,0.014807050800000002,-0.0087592741
2012-04,0.014894421300000002,-0.008860020199999999
2012-05,0.015878745200000002,-0.00901474
2012-06,0.017298090699999998,-0.010345789527999999
2012-07,0.015574537699999997,-0.00950223554
2012-08,0.014070363899999999,-0.0102583943
2012-09,0.012943537800000002,-0.0104217012
2012-10,0.013114073699999998,-0.009556051
2012-11,0.0142958357,-0.0058239709
2012-12,0.0131127293,-0.0038549958000000002
2013-01,0.015315708200000003,-0.0078259595
2013-02,0.015729610599999996,-0.007469658499999999
2013-03,0.014304714300000002,-0.0061583272
2013-04,0.013898590499999997,-0.0061370878000000005
2013-05,0.012404896799999999,-0.0070063087
2013-06,0.0121039456,-0.0078081689
2013-07,0.0113569799,-0.0076030999
2013-08,0.011063700800000001,-0.0073664601
2013-09,0.0106859505,-0.0071143496
2013-10,0.0105716144,-0.007183209899999999
2013-11,0.010693313889999998,-0.0068715865000000004
2013-12,0.009557347099999999,-0.0072208744000000005
2014-01,0.0164797119,-0.0101024179
2014-02,0.0170735408,-0.009215372
2014-03,0.0171768162,-0.009001533099999999
2014-04,0.014944942999999999,-0.0087845831
2014-05,0.013575771499999997,-0.008399316899999999
