Date,Top Performers,Bottom Performers
2005-03,"AOS, ROL, CMS, EIX, TTWO, HBAN, SJM, DTE, NTRS, FE","HOLX, COO, DHI, VMC, ATO, BRO, STT, ED, PPG, GL"
2005-04,"BAX, AFL, AEE, STT, ROL, EIX, MAA, SNA, DHI, NTRS","FDS, AVY, NUE, JBHT, PNW, SJM, AOS, CMS, HBAN, LNC"
2005-05,"POOL, TTWO, EMN, MAA, ATO, MHK, PNW, AEE, ESS, ED","CHD, SJM, PPG, COO, CINF, GL, HBAN, BAX, CMI, AVY"
2005-06,"FE, DHI, VMC, ADM, HOLX, FRT, BXP, AFL, ED, ESS","NUE, DTE, ROL, TTWO, MHK, GL, NTRS, APD, SNA, CINF"
2005-07,"BXP, DHI, SWK, VMC, ROP, ADM, AVY, SNA, MHK, MAA","DTE, EIX, SJM, ATO, EMN, AOS, BRO, TTWO, APD, GL"
2005-08,"EIX, BRO, TER, HOLX, AOS, BAX, LNC, FE, VMC, NUE","ADM, EMN, DHI, DOV, AEE, PNW, CINF, RHI, COO, IEX"
2005-09,"ADM, RHI, JBHT, AFL, EIX, LNC, BRO, ED, NUE, MAA","PNW, TER, DHI, FRT, BAX, APD, ROL, BXP, GL, DTE"
2005-10,"BRO, AVY, NTRS, INCY, AFL, HBAN, APD, RHI, SWK, POOL","ROL, TER, DHI, VMC, COO, ADM, AEE, FDS, SNA, GL"
2005-11,"BXP, POOL, TER, BRO, ROL, ROK, MAA, EMN, ROP, CINF","CHD, ADM, COO, NTRS, TTWO, FE, SJM, AEE, ED, SWK"
2005-12,"HOLX, FDS, FE, ROK, ADM, BRO, CMS, ED, GL, LNC","RHI, NUE, TER, CHD, ATO, PNW, MAA, APD, SWK, ROP"
2006-01,"STT, ROL, AVY, ESS, CMI, COO, POOL, SNA, BXP, VMC","RHI, FDS, MHK, TTWO, HBAN, DTE, SJM, BAX, CMS, AEE"
2006-02,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD","ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-03,"VMC, BXP, ESS, POOL, FRT, ROP, RHI, CHD, ADM, BRO","FE, STT, CMI, DHI, AFL, AVY, AEE, SNA, NTRS, HBAN"
2006-04,"RHI, SNA, TER, STT, ADM, EMN, AVY, LNC, PPG, AFL","AOS, EIX, SJM, ED, MHK, CHD, CMI, FDS, POOL, ROL"
2006-05,"CINF, SJM, CMI, EMN, FE, JBHT, ADM, ED, FDS, ATO","COO, DHI, AFL, CHD, ROP, DTE, PNW, BAX, INCY, FRT"
2006-06,"INCY, SJM, BXP, ROK, AOS, FDS, ATO, ESS, FE, HOLX","AVY, TER, APD, NTRS, AFL, EIX, ADM, ROP, ROL, HBAN"
2006-07,"BXP, CMS, PNW, ROL, BRO, EIX, ADM, ESS, ED, DTE","VMC, ROK, POOL, DHI, TTWO, NUE, GL, SJM, COO, CHD"
2006-08,"SJM, PNW, LNC, ESS, MAA, TER, EMN, BAX, AVY, CHD","HOLX, IEX, POOL, NTRS, CMI, HBAN, ED, DTE, CINF, ATO"
2006-09,"FDS, RHI, DHI, COO, PPG, JBHT, SWK, MHK, NTRS, CMI","CMS, FE, SJM, DTE, ROL, VMC, HBAN, APD, ATO, FRT"
2006-10,"IEX, FRT, COO, ATO, RHI, EIX, ROP, ROK, TER, CMI","CINF, BRO, SWK, MHK, GL, DHI, TTWO, AFL, AOS, DOV"
2006-11,"INCY, BXP, VMC, CMS, ROP, SWK, AVY, ATO, MHK, TER","BAX, EMN, SJM, AFL, ESS, BRO, APD, HBAN, ED, POOL"
2006-12,"STT, FDS, NTRS, AOS, AFL, LNC, BAX, CMS, DTE, PNW","AEE, ATO, COO, SWK, CMI, IEX, EIX, DHI, FRT, EMN"
2007-01,"MHK, DHI, RHI, IEX, BAX, COO, APD, CHD, STT, MAA","HBAN, CINF, EMN, EIX, TER, CMS, AEE, ADM, ROK, BRO"
2007-02,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX","GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-03,"SJM, CMI, EMN, ADM, NUE, PPG, FE, ED, COO, BAX","AOS, JBHT, LNC, SWK, NTRS, AFL, FRT, VMC, ROL, ATO"
2007-04,"MHK, AFL, BAX, EMN, CINF, EIX, DTE, STT, VMC, SWK","RHI, DOV, ROK, AOS, HOLX, PNW, FRT, ESS, ROL, ED"
2007-05,"MAA, SWK, IEX, COO, JBHT, TTWO, NUE, RHI, DHI, AVY","FRT, BXP, CMS, CHD, ESS, STT, SNA, ROL, BAX, CINF"
2007-06,"CMI, FDS, RHI, TER, APD, DOV, ROK, SJM, HOLX, IEX","DHI, NUE, FRT, BXP, MAA, NTRS, MHK, ROL, BAX, STT"
2007-07,"APD, EMN, ROP, ROL, SNA, AOS, CMI, BRO, ADM, AFL","POOL, NUE, SJM, TTWO, INCY, TER, MHK, AEE, DOV, PPG"
2007-08,"INCY, ESS, PNW, CINF, IEX, BXP, AEE, ROP, NUE, ED","AVY, NTRS, HBAN, SJM, AOS, EIX, CMI, ATO, GL, ADM"
2007-09,"APD, LNC, CMI, NTRS, COO, AFL, TTWO, FRT, EIX, CHD","BRO, DHI, ADM, HBAN, SWK, ROK, PNW, VMC, ESS, EMN"
2007-10,"AFL, FE, TTWO, ADM, ROP, HBAN, BAX, ESS, EIX, JBHT","IEX, AOS, TER, DOV, PPG, ATO, DHI, ROK, SJM, FRT"
2007-11,"NTRS, PNW, VMC, ED, CMS, COO, CHD, ADM, APD, IEX","AVY, FE, ROK, DTE, INCY, LNC, AEE, BAX, AFL, STT"
2007-12,"CMI, ATO, FE, SJM, JBHT, HOLX, ADM, TTWO, PPG, INCY","ROP, FRT, CINF, PNW, AOS, SNA, APD, CMS, NUE, DOV"
2008-01,"EMN, MHK, ESS, MAA, BXP, SWK, TER, BAX, DHI, COO","TTWO, ED, ROP, CMS, CINF, CHD, FE, NUE, VMC, AOS"
2008-02,"SJM, TER, MAA, TTWO, AOS, CMI, DOV, ADM, AFL, NUE","DHI, INCY, COO, JBHT, MHK, VMC, GL, AVY, EMN, ROL"
2008-03,"FRT, ESS, BXP, INCY, ROK, ROP, NUE, AFL, TER, AEE","HBAN, NTRS, PPG, ED, PNW, POOL, EIX, ATO, SJM, GL"
2008-04,"BXP, ATO, BAX, JBHT, GL, CMS, APD, EIX, ADM, TER","RHI, AOS, ROK, CINF, PNW, HBAN, ROL, DHI, SJM, AVY"
2008-05,"DTE, DOV, ROK, MAA, FDS, AVY, CMS, IEX, SJM, ROP","DHI, HOLX, INCY, ADM, MHK, ATO, NUE, ED, STT, ROL"
2008-06,"FE, BAX, ATO, ROP, NTRS, HOLX, AOS, PNW, MAA, PPG","DHI, POOL, FDS, STT, ESS, BRO, DOV, EMN, CHD, NUE"
2008-07,"PNW, SNA, BAX, BXP, VMC, FRT, PPG, RHI, LNC, POOL","TER, HOLX, ADM, EMN, AFL, TTWO, FE, AEE, GL, SWK"
2008-08,"TTWO, POOL, AVY, COO, FDS, SWK, LNC, PNW, BXP, CINF","ESS, MAA, ADM, CMI, IEX, FE, BAX, JBHT, DOV, TER"
2008-09,"HBAN, ROL, BRO, ED, DHI, AFL, FRT, ESS, VMC, HOLX","IEX, TER, STT, LNC, ADM, EIX, SWK, NTRS, CHD, GL"
2008-10,"NUE, HBAN, ED, ATO, PNW, BAX, ROL, CINF, LNC, COO","ROP, AOS, CMS, ESS, AEE, PPG, JBHT, APD, DTE, EIX"
2008-11,"AEE, MAA, DTE, AFL, AOS, ADM, FDS, ATO, TTWO, HOLX","GL, BAX, NUE, PPG, AVY, ESS, ROL, POOL, CMS, IEX"
2008-12,"FRT, SWK, ADM, PNW, BRO, CMI, APD, POOL, AVY, IEX","SJM, EMN, ATO, JBHT, PPG, ED, FE, ESS, CINF, AFL"
2009-01,"BAX, ED, PNW, SJM, ATO, FE, EIX, CMS, COO, TER","JBHT, DOV, ROL, ESS, POOL, PPG, NUE, CMI, FDS, DTE"
2009-02,"STT, DHI, COO, ROL, ROP, RHI, JBHT, CHD, APD, AOS","TER, IEX, CMI, BAX, TTWO, BRO, DOV, ED, ATO, MAA"
2009-03,"ROK, ROL, SWK, VMC, CMS, NTRS, SNA, ATO, CHD, DOV","INCY, SJM, PNW, POOL, BAX, FE, BXP, LNC, AEE, AOS"
2009-04,"DTE, TTWO, COO, NUE, ROP, VMC, FDS, HBAN, LNC, ATO","GL, STT, CMS, AEE, INCY, EIX, NTRS, ED, BAX, ADM"
2009-05,"JBHT, NUE, ESS, LNC, NTRS, BAX, HBAN, EMN, INCY, GL","ROK, POOL, BXP, MHK, HOLX, RHI, APD, FDS, BRO, MAA"
2009-06,"TTWO, CMI, PNW, AOS, CHD, CMS, EIX, ED, AEE, HBAN","ADM, FRT, AFL, VMC, BXP, CINF, APD, JBHT, PPG, INCY"
2009-07,"CINF, DTE, CHD, ATO, MAA, CMS, BAX, STT, FE, ESS","BXP, NTRS, IEX, COO, VMC, NUE, TTWO, JBHT, BRO, HBAN"
2009-08,"FE, GL, FRT, AFL, CINF, AEE, RHI, VMC, CMI, EMN","ADM, CHD, FDS, MHK, ROL, IEX, NTRS, AOS, ROP, COO"
