date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD
31.12.2002;1.24%;-6.68%;-2.28%;0.42%;-3.43%;-12.58%;-0.68%;-2.58%;-9.74%;-3.13%;-11.07%;-9.32%;-5.85%;4.56%;9.04%;6.74%;-6.14%;-0.40%;-8.47%;5.16%;2.93%;-1.75%;-4.50%;-11.37%;-3.79%;-14.88%;6.40%;-10.24%;-1.92%;-7.67%;-9.54%;-17.90%;-7.44%;6.02%;0.90%;-18.13%;-0.85%;-13.30%;-5.37%;2.23%;-13.44%;-3.15%;-20.73%;-0.12%;-21.63%;9.20%;5.90%;-5.32%;-6.03%;1.17%
31.01.2003;-3.88%;-2.92%;7.44%;-3.99%;-2.66%;2.45%;-1.04%;-4.23%;-12.29%;-40.04%;2.36%;9.99%;-10.35%;-8.74%;-6.87%;3.95%;-5.89%;0.67%;-3.92%;-5.47%;1.33%;-1.82%;2.16%;-18.94%;-10.93%;-4.49%;-5.80%;2.02%;-2.76%;-7.60%;-2.48%;-3.03%;-5.13%;-8.72%;-2.73%;-6.00%;11.20%;-4.99%;-9.38%;0.38%;1.75%;-23.12%;-20.24%;-9.30%;-9.89%;14.99%;-4.05%;-1.99%;-7.96%;-4.21%
28.02.2003;-0.34%;-9.63%;-3.61%;-0.95%;-6.58%;0.66%;3.53%;-1.07%;-3.05%;-20.72%;13.34%;-3.88%;-2.57%;-1.24%;-2.39%;0.15%;-6.05%;0.84%;-5.97%;-5.54%;4.44%;1.30%;1.12%;-27.13%;-4.61%;-22.57%;-11.27%;-11.38%;0.28%;-6.35%;-6.08%;4.14%;-1.28%;-0.71%;-5.07%;-11.77%;-0.26%;-17.03%;-2.09%;-14.46%;-7.01%;-3.13%;11.46%;-6.99%;-1.41%;7.73%;-5.09%;-3.77%;-3.31%;2.03%
31.03.2003;3.86%;-0.52%;2.69%;0.05%;6.79%;-34.44%;1.78%;-1.14%;2.84%;-2.10%;2.83%;4.76%;-4.69%;-6.83%;-0.03%;10.66%;-10.04%;2.45%;26.96%;7.99%;3.52%;-1.50%;-3.28%;18.99%;4.52%;-11.64%;9.60%;-1.26%;1.57%;-3.02%;-5.00%;-8.35%;8.33%;8.74%;-2.05%;-0.70%;-9.45%;-0.10%;-0.01%;2.53%;-14.27%;-7.15%;0.33%;-4.01%;6.50%;9.56%;1.18%;2.11%;8.75%;2.05%
30.04.2003;11.17%;2.49%;1.96%;6.56%;4.39%;23.29%;4.98%;5.72%;10.10%;41.17%;-6.79%;23.34%;18.56%;5.55%;0.94%;6.47%;6.80%;6.66%;7.14%;6.98%;3.02%;8.14%;5.07%;4.43%;9.73%;14.62%;28.24%;14.04%;8.34%;15.61%;15.88%;7.47%;11.01%;-0.16%;7.51%;22.21%;10.04%;5.93%;18.44%;3.65%;11.11%;1.09%;-0.44%;15.58%;0.84%;5.07%;7.05%;-9.18%;14.14%;3.56%
31.05.2003;6.98%;7.94%;0.52%;10.94%;1.12%;10.08%;6.85%;0.53%;26.36%;27.04%;23.64%;10.84%;5.37%;7.38%;10.51%;11.49%;6.98%;3.58%;10.54%;9.04%;6.98%;-0.17%;5.64%;38.91%;8.70%;46.27%;7.44%;10.03%;4.46%;3.95%;8.57%;16.53%;-2.51%;15.31%;0.16%;4.03%;3.64%;20.21%;3.52%;3.69%;9.27%;16.26%;47.75%;4.69%;12.22%;-15.00%;8.56%;4.57%;-0.98%;0.93%
30.06.2003;-11.52%;8.01%;-6.47%;-3.18%;-4.67%;2.50%;4.38%;-0.23%;5.63%;2.17%;0.62%;7.09%;-0.81%;-10.92%;2.02%;0.82%;-3.22%;0.36%;14.50%;5.53%;-3.13%;-3.65%;-4.88%;4.54%;4.97%;-3.29%;2.46%;2.29%;2.80%;-3.88%;8.91%;2.44%;6.67%;-1.18%;5.18%;11.64%;1.45%;1.29%;-3.86%;6.52%;2.75%;-0.46%;0.83%;1.78%;11.97%;-8.45%;1.39%;-9.62%;-8.27%;3.10%
31.07.2003;18.62%;2.03%;4.26%;-4.03%;12.28%;6.12%;0.21%;6.74%;29.02%;-19.82%;0.83%;0.11%;22.13%;-6.47%;-8.32%;-0.19%;16.10%;7.23%;4.36%;-10.37%;10.55%;9.03%;5.71%;6.88%;2.03%;7.95%;23.39%;4.73%;5.82%;21.32%;5.59%;1.30%;12.67%;-8.43%;11.22%;14.56%;8.32%;7.19%;-2.52%;0.31%;16.84%;2.57%;-5.04%;8.43%;-6.07%;-0.71%;-1.80%;8.12%;-4.69%;-1.08%
31.08.2003;7.89%;5.49%;-0.29%;1.70%;1.74%;1.70%;-0.86%;2.60%;7.51%;2.55%;5.75%;10.48%;3.78%;-2.31%;-0.52%;14.86%;-1.42%;3.64%;5.47%;-15.23%;0.25%;-0.52%;-2.56%;17.00%;5.15%;-24.64%;5.58%;-4.37%;4.79%;8.16%;-3.57%;4.17%;5.63%;1.09%;-2.83%;2.37%;5.27%;7.14%;4.10%;1.03%;-4.32%;6.78%;8.32%;2.89%;11.91%;-4.34%;-0.15%;1.39%;-0.07%;-1.46%
30.09.2003;-22.06%;-5.14%;1.08%;0.88%;-4.77%;3.34%;1.13%;-0.95%;-10.38%;10.41%;9.79%;5.27%;-6.68%;5.59%;4.47%;1.19%;-6.53%;-0.30%;-8.62%;10.15%;5.29%;0.61%;-0.68%;-17.10%;-6.11%;16.84%;5.31%;-0.19%;2.61%;-2.33%;0.18%;-10.84%;1.79%;3.42%;-4.22%;-12.40%;-3.02%;1.96%;-5.54%;4.68%;2.31%;-1.69%;4.24%;-3.12%;14.51%;-0.28%;-0.56%;-7.20%;-0.60%;9.70%
