Date,Avg Top Performers,Avg Bottom Performers
2002-02,6.0284,-3.4512
2002-03,3.3884,7.8027999999999995
2002-04,-0.28919999999999996,-2.7424
2002-05,0.06159999999999982,-1.1543999999999999
2002-06,-2.6064,-6.8736
2002-07,-10.082799999999999,-8.365599999999999
2002-08,0.6284000000000001,1.0184
2002-09,-8.4372,-5.966799999999999
2002-10,3.5795999999999997,3.2372
2002-11,9.005600000000001,10.2448
2002-12,-2.418,-6.1424
2003-01,-4.0484,-4.837999999999999
2003-02,-0.868,-6.765599999999999
2003-03,-0.07160000000000029,1.4859999999999998
2003-04,7.5044,10.6764
2003-05,8.1812,11.653200000000002
2003-06,1.6596000000000002,0.3372000000000001
2003-07,5.1824,4.758800000000001
2003-08,1.4748,3.014
2003-09,-0.03840000000000007,-0.384
2003-10,6.477600000000001,9.2852
2003-11,3.1776,2.0928000000000004
2003-12,3.198,3.6388
2004-01,1.8867999999999998,2.2411999999999996
2004-02,6.0504,0.03919999999999993
2004-03,2.8156,3.0492000000000004
2004-04,-3.6696000000000004,-0.9884
2004-05,2.5056,1.2584
2004-06,3.0724,5.8364
2004-07,-2.2988,-4.250800000000001
2004-08,3.0452000000000004,-0.41479999999999984
2004-09,0.9272,5.139600000000001
2004-10,2.8884,3.1956000000000007
2004-11,6.6175999999999995,4.3351999999999995
2004-12,4.2276,3.7096
2005-01,-0.6916,-2.8344
2005-02,6.3776,-0.98
2005-03,-1.6628,-1.3799999999999997
2005-04,-2.2292000000000005,-1.668
2005-05,4.2223999999999995,5.0976
2005-06,0.12240000000000009,2.3048
2005-07,6.706399999999999,7.216399999999998
2005-08,-0.5140000000000002,-2.2064000000000004
2005-09,1.3444,-0.23679999999999993
2005-10,-2.452,0.45239999999999997
2005-11,3.6788000000000007,4.255199999999999
2005-12,-0.6627999999999998,-0.33159999999999995
2006-01,6.4736,4.5736
2006-02,5.5367999999999995,-2.7319999999999998
2006-03,3.92,1.5083999999999997
2006-04,-1.0048,2.106
2006-05,-2.8892,-2.0068
2006-06,1.5756000000000001,-0.0632
2006-07,-1.5364000000000002,-0.5559999999999999
2006-08,2.2024,2.9159999999999995
2006-09,0.7240000000000001,1.8708
2006-10,4.5636,3.7676
2006-11,2.136,2.9088
2006-12,-0.10960000000000003,-0.4204
2007-01,6.492000000000001,3.302
2007-02,3.1503999999999994,-3.0568
2007-03,2.394,0.016400000000000067
2007-04,3.4424,3.9603999999999995
2007-05,2.6624,1.936
2007-06,-1.6456,-4.4204
2007-07,-3.7716000000000003,-4.884799999999999
2007-08,-0.3500000000000001,1.7008
2007-09,1.1639999999999997,2.4415999999999998
2007-10,2.4892,1.8208000000000002
2007-11,-3.0136000000000003,-3.8379999999999996
2007-12,0.4560000000000002,-0.8692
2008-01,-2.198,-0.6552000000000001
2008-02,1.9980000000000004,-7.2696
2008-03,-0.6880000000000002,1.3936
2008-04,6.8504,3.9632
2008-05,2.5404,1.1860000000000002
2008-06,-9.0476,-10.670399999999999
2008-07,0.7831999999999999,3.7728
2008-08,2.1216,5.2624
2008-09,-9.162799999999999,-6.124
2008-10,-16.8376,-24.4776
2008-11,-2.6312,-5.112
2008-12,0.7347999999999998,6.455200000000001
2009-01,-8.6304,-13.893200000000002
2009-02,-11.693200000000001,-14.611999999999998
2009-03,11.721200000000001,9.7916
2009-04,21.258000000000003,15.7544
2009-05,5.344799999999999,0.3644
2009-06,0.9311999999999999,2.0140000000000002
2009-07,14.283999999999999,11.0056
2009-08,4.7856,4.9888
2009-09,1.8140000000000003,4.128800000000001
2009-10,-5.0116000000000005,-3.8120000000000003
2009-11,4.89,5.2748
2009-12,5.838799999999999,4.4412
2010-01,0.49359999999999987,-4.8355999999999995
2010-02,7.106,2.3372
2010-03,7.456400000000001,5.9403999999999995
2010-04,5.5484,3.5195999999999996
2010-05,-7.396399999999999,-7.734
2010-06,-6.975599999999999,-3.7152
2010-07,10.413599999999999,7.7972
2010-08,-6.2384,-2.4356000000000004
2010-09,11.0752,9.096799999999998
2010-10,3.9359999999999995,2.9031999999999996
2010-11,0.5612000000000001,0.18400000000000005
2010-12,8.1216,7.4056
2011-01,3.6132,1.7183999999999997
2011-02,6.433999999999998,0.6779999999999999
2011-03,1.4388000000000003,2.2228
2011-04,3.662,3.862
2011-05,-0.6659999999999999,-2.2572
2011-06,-1.5179999999999998,-1.7975999999999999
2011-07,-5.7148,-3.5852
2011-08,-2.0572,-8.02
2011-09,-7.815200000000001,-9.4984
2011-10,13.1632,14.368400000000001
2011-11,-0.30559999999999987,0.7528000000000001
2011-12,3.054,2.2516
2012-01,5.0047999999999995,6.6312
2012-02,6.53,-0.6240000000000001
2012-03,2.5784000000000002,3.9027999999999996
2012-04,1.1995999999999998,1.8612
2012-05,-4.8824,-4.4732
2012-06,3.0595999999999997,1.9756
2012-07,-0.5708,1.9568
2012-08,2.8764000000000003,0.21519999999999995
2012-09,2.9804000000000004,2.02
2012-10,1.3032,0.9136
2012-11,2.1895999999999995,1.2164
2012-12,3.0159999999999996,0.6844
2013-01,7.8748000000000005,5.9575999999999985
2013-02,5.926799999999999,-0.7308
2013-03,4.0396,3.3451999999999997
2013-04,0.39440000000000003,0.7911999999999999
2013-05,0.9647999999999999,1.9399999999999997
2013-06,-0.47839999999999994,-1.902
2013-07,6.3968,6.7724
2013-08,-1.5844,-4.193200000000001
2013-09,3.5664000000000002,4.5468
2013-10,3.68,3.4128000000000003
2013-11,1.1716000000000002,0.33359999999999984
2013-12,1.9792,3.4175999999999997
2014-01,0.1495999999999999,-2.0976
